FIRMDUM1,FIRMDUM2,FIRMDUM3,FIRMDUM4,FIRMDUM5,FIRMDUM6,FIRMDUM7,InFreqGT1Deg,InCloseGT1Deg,RCP1,RCP2,RCP3,RWD1,RWD2,RWD3,RWD4,KTF1,KTF2,KTF3,KTF4,KTF5,KTF6,TNR,CMPTNR,JOBTNR,SEX,AGE,RCP,RWD,KTF,OutGT1OutExpAvg,Centrality
0,0,0,1,0,0,0,48.9361686706543,91.4893646240234,7,7,7,1,2,1,1,2,6,7,6,6,7,132,132,132,1,36,7,1.25,5.666666666666667,4.710526316,70.21276664733884
0,0,0,1,0,0,0,51.0638313293457,93.6170196533203,6,6,6,1,4,4,4,4,7,7,7,7,7,50,48,48,1,33,6,3.25,6.5,4.333333333,72.34042549133301
0,0,0,1,0,0,0,46.8085098266602,95.7446823120117,7,7,7,4,1,4,1,4,7,7,7,7,7,132,132,132,1,35,7,2.5,6.5,2.03030303,71.27659606933595
0,0,0,1,0,0,0,44.680850982666,100,6,6,6,2,2,5,2,2,5,5,5,6,6,83,56,83,1,31,6,2.75,4.833333333333333,3.789473684,72.34042549133301
0,0,0,1,0,0,0,36.1702117919922,87.2340393066406,7,7,7,3,4,5,4,2,4,5,5,5,4,171,51,51,1,36,7,4,4.166666666666667,2.421052632,61.7021255493164
0,0,0,1,0,0,0,42.5531921386719,89.361701965332,7,7,7,4,4,4,4,5,5,6,7,7,7,56,8,56,1,31,7,4,6.166666666666667,4.111111111,65.95744705200195
0,0,0,1,0,0,0,44.680850982666,91.4893646240234,6,6,6,4,4,4,4,5,4,6,6,6,4,43,12,12,1,32,6,4,5.166666666666667,3.727272727,68.0851078033447
0,0,0,1,0,0,0,51.0638313293457,93.6170196533203,6,6,6,4,4,5,3,6,6,7,7,7,6,134,110,44,1,33,6,4,6.5,4.125,72.34042549133301
0,0,0,1,0,0,0,63.8297882080078,97.8723373413086,6,6,6,1,1,1,1,1,1,4,4,6,6,72,36,36,1,34,6,1,3.6666666666666665,4.206896552,80.8510627746582
0,0,0,1,0,0,0,40.4255332946777,91.4893646240234,6,5,5,1,1,4,1,7,7,7,7,7,7,96,4,4,1,30,5.333333333333333,1.75,7,4.125,65.95744895935054
0,0,0,1,0,0,0,44.680850982666,91.4893646240234,7,7,7,3,4,5,3,3,6,6,6,6,7,168,7,7,1,39,7,3.75,5.666666666666667,4.263157895,68.0851078033447
